"nmadb_id","id","id_old","id_mod","is.star","cor_ability_pscore","cor_ability_pbv","cor_ability_PReTA","cor_ability_pswd","cor_prbs_pscore","cor_prbs_pbv","cor_prbs_PReTA","cor_prbs_pswd","cor_pscore_pbv","cor_pscore_PReTA","cor_pscore_pswd","cor_pbv_PReTA","cor_pbv_pswd","cor_PReTA_pswd","tau","avg_var","range","nS_nT"
481571,57,59,57,FALSE,0.980071623132909,0.684311485688102,0.870240967854747,0.971371515674116,0.67157361920567,0.997297343565687,0.547677913723501,0.762973206256006,0.624727341336513,0.93656887370395,0.987121265137894,0.49106060641923,0.718639339165426,0.933609508459657,0.150028055462648,0.125782160400809,0.953360955780371,421.375
481588,58,60,58,FALSE,0.964195491312145,0.621813406242437,0.86483743053232,0.96725985226317,0.427420079282091,0.990864988732531,0.269569542068321,0.495370550975056,0.50553349807229,0.950485066473644,0.994878100491499,0.336696933332039,0.575328445657221,0.926201962911394,0.297700165098397,0.251040313737322,0.942920075247859,598
481589,59,61,59,TRUE,0.981341920517083,0.730518693226709,0.969171475619533,0.993962111936748,0.672812335781048,0.996703644692918,0.563076170098918,0.718289005440227,0.669282861261712,0.979004243694722,0.995713723818416,0.556052939577981,0.714369054092801,0.975084081721518,0.243212954894433,0.0682776897064649,0.905466775959952,1861.1
481695,60,62,60,FALSE,0.998751653156177,0.778889917823482,0.981994122692259,0.999329450421783,0.847168225201868,0.98053030721907,0.785823643994261,0.878889471240878,0.760009018358295,0.983418244691379,0.996929753429806,0.679620099270453,0.794298265259492,0.981007774456664,0.152094625178702,0.0634814822489465,0.898456413454739,356.166666666667
481731,61,63,61,FALSE,0.890208012282415,0.967595868907735,0.904985288533003,0.899009791752751,0.930537763599625,0.980533150437296,0.945372460342495,0.93691864489416,0.941295212433172,0.997229085794587,0.999783868828363,0.944579901532917,0.946072831183208,0.998142487214807,0,0.431808980009824,0.971613767666494,1018.33333333333
481733,62,64,62,FALSE,0.966264423270632,0.840828380762418,0.87243545452305,0.998952133255653,0.889049842471978,0.979060224484885,0.989699799386319,0.944526409790457,0.793037573834028,0.825468782771787,0.971941988543975,0.998118565300228,0.858186322116407,0.887989325540004,0.106309259479101,0.0850203112692576,0.948049818690405,329.5
481734,63,65,63,FALSE,0.957242192080406,0.686487430588245,0.986158420476473,0.928145998407314,0.891147477655568,0.896222872325237,0.885770334246969,0.92616647567953,0.777665274806989,0.958116213451996,0.978711022475877,0.672372917893476,0.854546958046904,0.945021985698126,0.121126472725213,0.00584053564980041,0.57631140301881,33314
481766,64,66,64,FALSE,0.965841171285759,0.860315603527044,0.926233804403444,0.988393291556498,0.736900985321907,0.999675656293479,0.707096373409455,0.856251610862315,0.72162062771256,0.97507154228,0.976399141891167,0.690113413590203,0.843879143226966,0.964524810048572,0,0.0769443064931073,0.817035317114344,683.857142857143
481781,65,67,65,FALSE,0.920430045146066,0.553000612016277,0.940972268555452,0.90008773258943,0.853270063360284,0.532386289181318,0.900021149923154,0.856326379189988,0.826766284471084,0.99435109613539,0.996835593809164,0.78800592210843,0.852597227795968,0.993430055076499,0.22386191269802,0.279820252589736,0.935758373016085,11498.2
481856,66,68,66,FALSE,0.974107238940063,0.768042791357783,0.967038632423791,0.993032870588952,0.940267562758632,0.97701878264154,0.86179895404395,0.914134573163087,0.860722085440545,0.982688615037984,0.993678539005187,0.759784557835158,0.813832597696898,0.984371157998834,0.257474437335138,0.0228963176142932,0.787562839454816,1880.25
481908,67,69,67,FALSE,0.998569688402243,0.918596489948921,0.986652113914947,0.989906012382362,0.960226413140114,0.981406936202725,0.900990683488474,0.918236035097205,0.928982455227926,0.98397581063099,0.992252612043901,0.84813775060835,0.884240063807117,0.994847987013818,0.158482589250673,0.0318313093292693,0.876721266793571,1239.75
481942,68,70,68,FALSE,0.990789502178877,0.613762983130671,0.946343206906036,0.986177801855516,0.904887666661129,0.734801561594137,0.896584160176466,0.923072103629438,0.706849231729383,0.944006494889375,0.998288041311651,0.609198892964979,0.722252690435499,0.948657609046506,0.358360423450451,0.0577097269672861,0.81217904361142,577.833333333333
481974,69,71,69,TRUE,0.700613627950324,0.714939829178964,0.805063031219642,0.705792683658481,0.799680484832574,0.760077257218344,0.86578503808821,0.804703374919468,0.938774209969958,0.986519709085838,0.99815861575721,0.950997757043326,0.956098925482216,0.988094662088195,0.393765349404591,0.494501594078812,0.919568039299301,3699.83333333333
482001,71,73,71,FALSE,0.958507240725272,0.69035887026346,0.850573810063227,0.922420979683675,0.678829178158839,0.999440460217547,0.665703972394591,0.900305637936839,0.656907226285986,0.960404539089132,0.929192013497553,0.647702225176944,0.887467282631931,0.895281578231741,0.319285349432053,0.0532579834897636,0.962416773084655,1221.14285714286
482003,72,74,72,FALSE,0.944298527812817,0.879073271909231,0.952592432707983,0.978588221127359,0.81704250275144,0.997711547532495,0.739721047824425,0.826086203068105,0.782456027115555,0.933665814643332,0.982113626499213,0.692540926510719,0.78724397809585,0.98053314344728,0.220451998970686,0.0456392305677837,0.656605419071518,4477.6
482004,73,75,73,FALSE,0.861651269058749,0.295482180675691,0.847157891888376,0.761124321523652,0.771420384827422,0.127780504916846,0.867635083222393,0.653428578096139,0.622148249251335,0.977187499010205,0.975081912963972,0.518788541772219,0.778237183566142,0.930866070780664,0.196941117227756,0.138330167098115,0.974147899190724,570.5
